+++ Host - begin +++
Name, Description
SBA,BI Reporting Host
+++ Host - end +++

+++ Database - begin +++
Name,Host,Description,Vendor,Version,Instance,Location,DBMS
Team_SAS_VA_016,SBA,Team_SAS_VA_016,,,file,Lab,Relational
+++ Database - end +++

+++ Schema - begin +++
Name,Host,Database,Description
Memory Library,SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library
+++ Schema - end +++

+++ Database Table - begin +++
Name,Host,Database,Schema,Description
_016_RAC_FACT_GENERAL,SBA,Team_SAS_VA_016 - Memory Library,Memory Library,_016_RAC_FACT_GENERAL
+++ Database Table - end +++

+++ Database Column - begin +++
Name,Host,Database,Schema,Table,Description,ODBC Type,Data Type,Native Type,Length,Minimum Length,Unique,Nullability,Fraction,Position,Level Number
DT_PERIODO_RIFERIMENTO, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,Data di riferimento, , , , , , , , , , 
CO_CUS, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
DESCRIZIONE_CLIENTE, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
GRUPPO_RISCHIO, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
DESCRIZIONE_GRUPPO, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
CO_STRUTTURA_L1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
STRUTTURA_L0, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
STRUTTURA_L1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
STRUTTURA_L2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
STRUTTURA_L3, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
STRUTTURA_L4, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
STRUTTURA_L5, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
STRUTTURA_L6, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
STRUTTURA_L7, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
STRUTTURA_L8, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
STRUTTURA_L9, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
STRUTTURA, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
DL_STRUTTURA_L4, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,Area Comm./Ag. Private/Centro, , , , , , , , , , 
CO_BUSINESS_LINE_LEV1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
DL_BUSINESS_LINE_LEV1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
CO_BUSINESS_LINE_LEV2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
DL_BUSINESS_LINE_LEV2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
